"family_id","ext_id"
"505","29"
"47","15"
"476","66"
"1157","213"
"1161","214"
"886","42"
"286","31"
"1168","216"
"1193","217"
"887","42"
"888","42"
"284","219"
"1210","222"
"1212","224"
"416","226"
"889","42"
"173","148"
"173","228"
"656","125"
"728","83"
"363","63"
"349","42"
"350","42"
"351","42"
"398","17"
"399","18"
"404","19"
"557","120"
"352","42"
"353","42"
"354","42"
"454","24"
"16","26"
"1038","185"
"1122","197"
"508","30"
"510","35"
"487","169"
"58","108"
"511","35"
"215","82"
"512","35"
"643","51"
"728","59"
"643","52"
"644","53"
"607","6"
"622","46"
"402","86"
"395","198"
"348","42"
"711","166"
"370","42"
"373","42"
"372","42"
"374","42"
"375","42"
"371","42"
"424","1"
"863","4"
"864","39"
"638","47"
"681","58"
"733","60"
"103","12"
"1039","190"
"778","161"
"286","77"
"141","55"
"141","56"
"141","57"
"314","104"
"413","20"
"288","104"
"1056","186"
"177","43"
"1116","181"
"168","130"
"388","199"
"1117","182"
"691","172"
"813","162"
"805","22"
"805","23"
"806","22"
"806","23"
"807","22"
"807","23"
"808","22"
"808","23"
"929","135"
"657","92"
"809","22"
"809","23"
"810","22"
"810","23"
"811","22"
"811","23"
"414","21"
"389","200"
"471","27"
"542","131"
"516","40"
"516","41"
"366","126"
"321","155"
"100","142"
"612","145"
"588","37"
"588","38"
"102","112"
"1022","183"
"1031","201"
"1034","202"
"39","121"
"185","147"
"990","171"
"989","171"
"991","171"
"468","100"
"866","168"
"932","117"
"651","158"
"620","45"
"1059","192"
"1054","203"
"1051","204"
"705","163"
"280","88"
"739","101"
"745","61"
"262","95"
"360","64"
"1076","194"
"653","157"
"71","8"
"71","9"
"1054","184"
"71","54"
"567","119"
"998","113"
"702","164"
"419","80"
"1045","193"
"938","170"
"59","134"
"851","70"
"844","69"
"390","205"
"843","68"
"638","144"
"1057","180"
"761","89"
"210","91"
"277","73"
"161","13"
"178","43"
"188","110"
"690","151"
"181","127"
"842","67"
"841","67"
"496","160"
"1118","78"
"404","123"
"139","32"
"139","33"
"765","90"
"417","22"
"417","23"
"640","48"
"641","49"
"642","50"
"827","90"
"822","90"
"729","146"
"752","62"
"622","141"
"997","105"
"655","159"
"862","28"
"788","71"
"263","99"
"358","206"
"721","207"
"140","72"
"58","81"
"615","87"
"1162","215"
"1194","218"
"1201","115"
"1209","221"
"1208","220"
"1211","223"
"415","103"
"415","225"
"180","138"
"180","227"
"615","114"
"646","118"
"646","133"
"772","188"
"281","137"
"812","167"
"485","175"
"1114","177"
"701","196"
"755","174"
"624","174"
"996","124"
"937","173"
"391","208"
"1111","178"
"1079","209"
"1060","189"
"47","84"
"814","195"
"1058","187"
"654","154"
"1032","109"
"703","165"
"170","150"
"139","128"
"360","122"
"732","139"
"188","93"
"1033","210"
"862","153"
"175","98"
"16","102"
"597","79"
"559","97"
"275","132"
"595","191"
"357","211"
"1066","212"
"486","176"
"558","96"
"1115","179"
"669","107"
"343","156"
"542","75"
"560","116"
"452","136"
"365","149"
